Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,91.769997,92.370003,90.660004,91.879997,75.830963,3767900
2015-01-05,90.349998,90.419998,86.599998,87.029999,71.828133,11301400
2015-01-06,87.279999,87.680000,85.169998,86.470001,71.365959,8660600
2015-01-07,87.370003,88.139999,86.419998,87.809998,72.471870,6511100
2015-01-08,89.180000,89.279999,87.839996,88.709999,73.214668,7617800
2015-01-09,88.760002,88.889999,87.019997,87.650002,72.339828,4857100
2015-01-12,87.730003,87.769997,86.070000,86.889999,71.712601,4351600
2015-01-13,87.680000,87.900002,85.199997,86.370003,71.283432,5078100
2015-01-14,84.889999,86.220001,84.269997,86.070000,71.035828,10366700
2015-01-15,86.029999,86.169998,84.300003,84.320000,70.162102,6683900
2015-01-16,84.239998,84.320000,83.050003,83.860001,69.779358,10424800
2015-01-20,84.419998,84.500000,83.190002,83.970001,69.870888,5937300
2015-01-21,83.589996,85.400002,83.589996,85.370003,71.035828,6613100
2015-01-22,86.050003,87.360001,85.430000,86.820000,72.242363,5567800
2015-01-23,86.790001,87.000000,85.199997,85.610001,71.235527,5027500
2015-01-26,85.360001,86.260002,84.900002,86.029999,71.585007,8140500
2015-01-27,79.739998,81.349998,79.099998,79.849998,66.442673,27489500
2015-01-28,80.400002,81.199997,79.959999,80.010002,66.575790,14269300
2015-01-29,79.910004,80.180000,78.809998,80.000000,66.567497,9157000
2015-01-30,79.510002,80.820000,79.419998,79.970001,66.542526,8150700
2015-02-02,80.080002,80.879997,79.489998,80.839996,67.266449,7149000
2015-02-03,81.220001,84.110001,81.150002,83.919998,69.829292,10895300
2015-02-04,82.779999,83.320000,81.660004,81.949997,68.190063,8806500
2015-02-05,82.400002,83.629997,81.870003,83.570000,69.538055,6640200
2015-02-06,83.599998,84.139999,82.800003,83.209999,69.238503,5581500
2015-02-09,83.050003,84.870003,82.949997,84.669998,70.453369,7693800
2015-02-10,85.000000,85.000000,83.459999,83.900002,69.812660,6569100
2015-02-11,83.559998,83.669998,82.239998,83.410004,69.404922,5722600
2015-02-12,84.080002,84.250000,83.309998,83.529999,69.504784,4623000
2015-02-13,84.110001,85.489998,84.029999,85.129997,70.836121,5645500
2015-02-17,84.860001,85.580002,84.199997,85.379997,71.044151,3924400
2015-02-18,84.919998,85.809998,84.580002,84.800003,70.561539,3568600
2015-02-19,83.809998,84.000000,82.209999,83.300003,69.313416,5733500
2015-02-20,83.300003,84.620003,82.400002,84.440002,70.261978,6029400
2015-02-23,83.900002,83.980003,83.139999,83.489998,69.471481,5180000
2015-02-24,83.769997,84.690002,83.599998,84.500000,70.311913,3678700
2015-02-25,84.519997,85.360001,84.169998,85.150002,70.852753,3449500
2015-02-26,85.099998,85.099998,83.559998,83.800003,69.729439,4457000
2015-02-27,84.180000,84.180000,82.889999,82.900002,68.980560,4370500
2015-03-02,82.900002,83.070000,82.239998,83.000000,69.063766,4155000
2015-03-03,82.709999,83.790001,82.650002,82.839996,68.930618,4331700
2015-03-04,82.570000,82.610001,80.830002,81.730003,68.007004,6863600
2015-03-05,81.730003,81.730003,80.059998,81.510002,67.823936,7123500
2015-03-06,80.370003,81.209999,79.550003,80.059998,66.617432,7913800
2015-03-09,80.169998,81.339996,80.099998,80.809998,67.241478,4740500
2015-03-10,80.019997,80.760002,79.739998,79.910004,66.492592,4850500
2015-03-11,80.150002,80.150002,79.260002,79.699997,66.317841,4612200
2015-03-12,80.269997,80.480003,79.800003,80.190002,66.725578,3612500
